,election_district,registered_voters,voted_in_2016,ratio_voted
626,30052,1121,632.0,0.5637823371989296
627,30053,680,406.0,0.5970588235294118
628,30054,184,96.0,0.5217391304347826
629,30055,958,530.0,0.5532359081419624
630,30056,990,617.0,0.6232323232323232
631,30057,966,493.0,0.510351966873706
632,30058,1053,576.0,0.5470085470085471
633,30059,1051,576.0,0.5480494766888677
634,30060,1133,649.0,0.5728155339805825
635,30061,595,423.0,0.7109243697478992
636,30062,788,431.0,0.5469543147208121
637,30063,539,327.0,0.6066790352504638
638,30064,695,407.0,0.5856115107913669
639,30065,802,514.0,0.6408977556109726
640,30066,1004,607.0,0.6045816733067729
641,30067,1014,589.0,0.5808678500986193
642,30068,1131,680.0,0.601237842617153
643,30069,1057,639.0,0.6045411542100284
644,30073,1156,686.0,0.5934256055363322
645,30074,917,495.0,0.5398037077426391
646,30075,650,347.0,0.5338461538461539
647,30076,1138,690.0,0.6063268892794376
648,30077,1101,666.0,0.6049046321525886
649,30078,637,389.0,0.6106750392464678
650,30079,983,573.0,0.582909460834181
651,30080,492,338.0,0.6869918699186992
652,30081,739,505.0,0.6833558863328822
653,30082,639,446.0,0.6979655712050078
654,31001,647,344.0,0.5316846986089645
655,31002,941,185.0,0.19659936238044634
656,31003,1022,479.0,0.46868884540117417
657,31004,1087,604.0,0.5556577736890524
658,31005,1018,516.0,0.5068762278978389
659,31006,52,31.0,0.5961538461538461
660,31007,1023,560.0,0.5474095796676441
661,31008,1062,555.0,0.5225988700564972
662,31009,1008,463.0,0.4593253968253968
663,31010,1140,616.0,0.5403508771929825
664,31011,1153,623.0,0.5403295750216826
665,31012,1101,598.0,0.5431425976385105
666,31013,1085,537.0,0.4949308755760369
667,31014,997,525.0,0.526579739217653
668,31015,999,509.0,0.5095095095095095
669,31016,991,512.0,0.5166498486377397
670,31017,943,485.0,0.5143160127253447
671,31018,1156,609.0,0.5268166089965398
672,31019,1131,627.0,0.5543766578249337
673,31020,466,267.0,0.572961373390558
674,31021,104,56.0,0.5384615384615384
675,31022,1119,586.0,0.5236818588025023
